Player,Position,Weight,Team,Nationality,Year,Region,Selection_Type,Height_Feet,Height_Inch,Height_In_Inches,NBA_Draft_Year,NBA_Draft_Round,NBA_Draft_Pick
Shaquille O'Neal,C,325,Los Angeles Lakers,United States,2000,West,Fans,7,1,85,1992.0,1.0,1.0
Gary Payton,G,180,Seattle SuperSonics,United States,2000,West,Coaches,6,4,76,1990.0,1.0,2.0
David Robinson,C,250,San Antonio Spurs,United States,2000,West,Coaches,7,1,85,1987.0,1.0,1.0
John Stockton,PG,170,Utah Jazz,United States,2000,West,Coaches,6,1,73,1984.0,1.0,16.0
Rasheed Wallace,FC,230,Portland Trail Blazers,United States,2000,West,Coaches,6,11,83,1995.0,1.0,4.0
Chris Webber,F-C,245,Sacramento Kings,United States,2000,West,Coaches,6,9,81,1993.0,1.0,1.0
Charles Barkley,PF,252,Phoenix Suns,United States,1996,West,Fans,6,6,78,1984.0,1.0,5.0
Clyde Drexler,SG,210,Houston Rockets,United States,1996,West,Fans,6,7,79,1983.0,1.0,14.0
Sean Elliott,SF,205,San Antonio Spurs,United States,1996,West,Coaches,6,8,80,1989.0,1.0,3.0
Shawn Kemp,C,280,Seattle SuperSonics,United States,1996,West,Fans,6,10,82,1989.0,1.0,17.0
Jason Kidd,PG,210,Dallas Mavericks,United States,1996,West,Fans,6,4,76,1994.0,1.0,2.0
Karl Malone,PF,265,Utah Jazz,United States,1996,West,Coaches,6,9,81,1985.0,1.0,13.0
Dikembe Mutombo,C,260,Denver Nuggets,Democratic Republic of the Congo,1996,West,Coaches,7,2,86,1991.0,1.0,4.0
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1996,West,Fans,7,0,84,1984.0,1.0,1.0
Gary Payton,G,180,Seattle SuperSonics,United States,1996,West,Coaches,6,4,76,1990.0,1.0,2.0
Mitch Richmond,SG,215,Sacramento Kings,United States,1996,West,Coaches,6,5,77,1988.0,1.0,5.0
David Robinson,C,250,San Antonio Spurs,United States,1996,West,Coaches,7,1,85,1987.0,1.0,1.0
John Stockton,PG,170,Utah Jazz,United States,1996,West,Coaches,6,1,73,1984.0,1.0,16.0
Charles Barkley,PF,252,Philadelphia Sixers,United States,1990,East,Fans,6,6,78,1984.0,1.0,5.0
Larry Bird,SF,220,Boston Celtics,United States,1990,East,Fans,6,9,81,1978.0,1.0,6.0
Joe Dumars,SG,190,Detroit Pistons,United States,1990,East,Coaches,6,3,75,1985.0,1.0,18.0
Patrick Ewing,C,240,New York Knicks,United States Jamaica,1990,East,Fans,7,0,84,1985.0,1.0,1.0
Michael Jordan,SG,215,Chicago Bulls,United States,1990,East,Fans,6,6,78,1984.0,1.0,3.0
Kevin McHale,PF,210,Boston Celtics,United States,1990,East,Coaches,6,10,82,1980.0,1.0,3.0
Reggie Miller,SG,185,Indiana Pacers,United States,1990,East,Coaches,6,7,79,1987.0,1.0,11.0
Robert Parish,C,230,Boston Celtics,United States,1990,East,Coaches,7,0,84,1976.0,1.0,8.0
